PassengerId,Survived,Pclass,LastName,Title,Sex,Age,SibSp,Parch,Fare,Embarked,TicketNumber,OtherName
1,0,3,1,1,1,22,1,0,7.25,1,521171,0
2,1,1,2,2,2,38,1,0,71.2833,2,17599,1
3,1,3,3,3,2,26,0,0,7.925,1,23101282,0
4,1,1,4,2,2,35,1,0,53.1,1,113803,1
5,0,3,5,1,1,35,0,0,8.05,1,373450,0
6,0,3,6,1,1,32.7,0,0,8.4583,3,330877,0
7,0,1,7,1,1,54,0,0,51.8625,1,17463,0
8,0,3,8,4,1,2,3,1,21.075,1,349909,0
9,1,3,9,2,2,27,0,2,11.1333,1,347742,1
10,1,2,10,2,2,14,1,0,30.0708,2,237736,1
11,1,3,11,3,2,4,1,1,16.7,1,9549,0
12,1,1,12,3,2,58,0,0,26.55,1,113783,0
13,0,3,13,1,1,20,0,0,8.05,1,52151,0
14,0,3,14,1,1,39,1,5,31.275,1,347082,0
15,0,3,15,3,2,14,0,0,7.8542,1,350406,0
16,1,2,16,2,2,55,0,0,16,1,248706,1
17,0,3,17,4,1,2,4,1,29.125,3,382652,0
18,1,2,18,1,1,31.412790697674417,0,0,13,1,244373,0
19,0,3,19,2,2,31,1,0,18,1,345763,1
20,1,3,20,2,2,33.666666666666664,0,0,7.225,2,2649,0
21,0,2,21,1,1,35,0,0,26,1,239865,0
22,1,2,22,1,1,34,0,0,13,1,248698,0
23,1,3,23,3,2,15,0,0,8.0292,3,330923,0
24,1,1,24,1,1,28,0,0,35.5,1,113788,0
25,0,3,8,3,2,8,3,1,21.075,1,349909,0
26,1,3,25,2,2,38,1,5,31.3875,1,347077,1
27,0,3,26,1,1,26.557692307692307,0,0,7.225,2,2631,0
28,0,1,27,1,1,19,3,2,263,1,19950,0
29,1,3,28,3,2,23.157894736842106,0,0,7.8792,3,330959,0
30,0,3,29,1,1,28.425581395348836,0,0,7.8958,1,349216,0
31,0,1,30,5,1,40,0,0,27.7208,2,17601,0
32,1,1,31,2,2,37.23076923076923,1,0,146.5208,2,17569,1
33,1,3,32,3,2,23.157894736842106,0,0,7.75,3,335677,0
34,0,2,33,1,1,66,0,0,10.5,1,24579,0
35,0,1,34,1,1,28,1,0,82.1708,2,17604,0
36,0,1,35,1,1,42,1,0,52,1,113789,0
37,1,3,36,1,1,26.557692307692307,0,0,7.2292,2,2677,0
38,0,3,37,1,1,21,0,0,8.05,1,52152,0
39,0,3,19,3,2,18,2,0,18,1,345764,0
40,1,3,38,3,2,14,1,0,11.2417,2,2651,0
41,0,3,39,2,2,40,1,0,9.475,1,7546,1
42,0,2,40,2,2,27,1,0,21,1,11668,1
43,0,3,41,1,1,26.557692307692307,0,0,7.8958,2,349253,0
44,1,2,42,3,2,3,1,2,41.5792,2,2123,0
45,1,3,43,3,2,19,0,0,7.8792,3,330958,0
46,0,3,44,1,1,28.425581395348836,0,0,8.05,1,423567,0
47,0,3,45,1,1,32.7,1,0,15.5,3,370371,0
48,1,3,46,3,2,23.157894736842106,0,0,7.75,3,14311,0
49,0,3,47,1,1,26.236467236467234,2,0,21.6792,2,2662,0
50,0,3,48,2,2,18,1,0,17.8,1,349237,1
51,0,3,49,4,1,7,4,1,39.6875,1,3101295,0
52,0,3,50,1,1,21,0,0,7.8,1,439886,0
53,1,1,51,2,2,49,1,0,76.7292,2,17572,1
54,1,2,52,2,2,29,1,0,26,1,2926,1
55,0,1,53,1,1,65,0,1,61.9792,2,113509,0
56,1,1,54,1,1,43.84375,0,0,35.5,1,19947,0
57,1,2,55,3,2,21,0,0,10.5,1,31026,0
58,0,3,56,1,1,28.5,0,0,7.2292,2,2697,0
59,1,2,57,3,2,5,1,2,27.75,1,34651,0
60,0,3,58,4,1,11,5,2,46.9,1,2144,0
61,0,3,59,1,1,22,0,0,7.2292,2,2669,0
62,1,1,60,3,2,38,0,0,80,1,113572,0
63,0,1,61,1,1,45,1,0,83.475,1,36973,0
64,0,3,62,4,1,4,3,2,27.9,1,347088,0
65,0,1,63,1,1,39.75,0,0,27.7208,2,17605,0
66,1,3,64,4,1,6.5,1,1,15.2458,2,2661,0
67,1,2,65,2,2,29,0,0,10.5,1,29395,1
68,0,3,66,1,1,19,0,0,8.1583,1,3464,0
69,1,3,14,3,2,17,4,2,7.925,1,3101281,0
70,0,3,67,1,1,26,2,0,8.6625,1,315151,0
71,0,2,68,1,1,32,0,0,10.5,1,33111,0
